"Date","High","Low","Open","Close","Volume","Adj.Close"
"2015-06-08",3.01,2.73,2.73,2.9,179900,2.9
"2015-06-09",3.04,2.77,2.9,2.81,68000,2.81
"2015-06-10",2.9,2.82,2.88,2.85,48600,2.85
"2015-06-11",2.91,2.86,2.88,2.86,33900,2.86
"2015-06-12",2.93,2.85,2.87,2.89,28300,2.89
"2015-06-15",3.08,2.89,2.89,3.04,73600,3.04
"2015-06-16",3.39,3.04,3.04,3.25,302000,3.25
"2015-06-17",3.51,3.17,3.3,3.49,180800,3.49
"2015-06-18",3.69,3.4,3.66,3.64,345100,3.64
"2015-06-19",3.72,3.5,3.69,3.57,214600,3.57
"2015-06-22",3.55,3.3,3.51,3.53,116300,3.53
"2015-06-23",3.55,3.38,3.55,3.44,33400,3.44
"2015-06-24",3.45,3.34,3.35,3.4,70700,3.4
"2015-06-25",3.42,3.1,3.36,3.17,95100,3.17
"2015-06-26",3.45,3.02,3.19,3.45,200900,3.45
"2015-06-29",3.46,3.17,3.46,3.17,95800,3.17
"2015-06-30",3.24,3.02,3.22,3.1,90000,3.1
"2015-07-01",3.49,3.05,3.19,3.26,240100,3.26
"2015-07-02",3.3,3.16,3.2,3.21,56800,3.21
"2015-07-06",3.25,3.11,3.14,3.17,71000,3.17
"2015-07-07",3.19,3.02,3.18,3.03,114200,3.03
"2015-07-08",3.03,2.81,3.02,2.81,112500,2.81
"2015-07-09",3.08,2.85,2.85,2.91,101800,2.91
"2015-07-10",3.01,2.86,2.99,2.94,42700,2.94
"2015-07-13",3,2.89,2.9,2.95,59500,2.95
"2015-07-14",3,2.95,2.96,2.98,16600,2.98
"2015-07-15",3,2.87,3,2.87,55500,2.87
"2015-07-16",2.94,2.87,2.88,2.88,38100,2.88
"2015-07-17",2.92,2.84,2.91,2.84,37900,2.84
"2015-07-20",2.84,2.66,2.84,2.66,42800,2.66
"2015-07-21",2.82,2.61,2.61,2.71,60500,2.71
"2015-07-22",2.75,2.65,2.72,2.66,39600,2.66
"2015-07-23",2.72,2.62,2.62,2.66,35100,2.66
