"Date","High","Low","Open","Close","Volume"
"2010-09-07",4.69,4.28,4.69,4.34,120200
"2010-09-08",4.64,4.36,4.36,4.6,100500
"2010-09-09",4.68,4.51,4.67,4.52,104500
"2010-09-10",4.68,4.54,4.55,4.63,84100
"2010-09-13",4.97,4.59,4.59,4.9,180400
"2010-09-14",4.93,4.66,4.93,4.69,114100
"2010-09-15",4.75,4.56,4.72,4.65,105200
"2010-09-16",4.72,4.57,4.68,4.62,61600
"2010-09-17",4.79,4.62,4.62,4.63,217900
"2010-09-20",4.94,4.66,4.7,4.94,178600
"2010-09-21",4.95,4.8,4.94,4.86,99200
"2010-09-22",4.86,4.69,4.8,4.76,87700
"2010-09-23",4.98,4.72,4.8,4.96,129400
"2010-09-24",5.05,4.69,5.05,4.9,112000
"2010-09-27",5.19,4.87,4.95,5.05,194900
"2010-09-28",5.2,4.99,5.1,5.2,163500
"2010-09-29",5.2,5.05,5.2,5.1,90900
"2010-09-30",5.15,4.72,5.15,4.75,178900
"2010-10-01",5.1,4.73,4.83,5.1,109000
"2010-10-04",5.05,4.8,5.03,4.83,129400
"2010-10-05",5.1,4.86,4.94,5.1,138800
"2010-10-06",5.19,5.09,5.19,5.09,177500
"2010-10-07",5.2,5.06,5.15,5.1,137500
"2010-10-08",5.2,5.04,5.12,5.19,107300
"2010-10-11",5.47,5.11,5.47,5.44,171200
"2010-10-12",5.69,5.25,5.45,5.69,292700
"2010-10-13",5.87,5.63,5.75,5.86,279200
"2010-10-14",6,5.76,5.85,5.84,310300
"2010-10-15",6.41,5.59,6.41,5.7,212900
"2010-10-18",5.94,5.66,5.66,5.79,111100
"2010-10-19",5.9,5.7,5.89,5.89,162700
"2010-10-20",6.09,5.9,5.98,6.05,177900
"2010-10-21",6.26,6.02,6.1,6.26,222300
"2010-10-22",6.37,6.15,6.32,6.36,175400
"2010-10-25",6.55,6.4,6.5,6.43,208700
"2010-10-26",6.4,5.38,6.4,5.7,436400
"2010-10-27",5.85,5.4,5.83,5.73,365900
"2010-10-28",6.08,5.72,5.8,6.01,238400
"2010-10-29",6.08,5.75,6.05,6,287500
"2010-11-01",6.13,5.75,6.13,5.77,140300
"2010-11-02",5.77,5.55,5.76,5.69,141200
"2010-11-03",6.2,5.75,5.75,6.04,239200
"2010-11-04",6.35,6.15,6.35,6.23,225600
"2010-11-05",6.37,6,6.37,6.05,145100
"2010-11-08",6.3,6.05,6.05,6.28,121100
"2010-11-09",6.4,6.22,6.4,6.29,139000
"2010-11-10",6.38,6.06,6.29,6.14,133800
"2010-11-11",7.09,6.33,6.5,6.87,638800
"2010-11-12",7.1,6.75,7.1,6.82,203300
"2010-11-15",7,6.68,6.85,6.91,141100
"2010-11-16",7.43,6.63,6.9,7.29,391200
"2010-11-17",7.3,7.07,7.3,7.23,198500
"2010-11-18",7.5,7.24,7.4,7.5,225000
"2010-11-19",7.5,7,7.5,7.4,188900
"2010-11-22",7.72,7.33,7.33,7.72,248000
"2010-11-23",7.95,7.5,7.8,7.73,261600
"2010-11-24",7.99,7.73,7.95,7.91,2e+05
"2010-11-26",7.99,7.77,7.99,7.84,82900
"2010-11-29",7.89,7.62,7.8,7.87,133400
"2010-11-30",8,7.68,7.86,8,431200
"2010-12-01",8.49,8.05,8.05,8.23,438900
"2010-12-02",8.39,8,8.13,8.1,230400
"2010-12-03",8.18,7.4,8.18,7.63,543000
"2010-12-06",8.04,7.51,7.53,7.98,221000
"2010-12-07",8.24,7.98,8.05,8.04,423900
"2010-12-08",8.19,7.78,8.19,7.93,137200
"2010-12-09",8.13,7.89,8.02,8.08,201000
"2010-12-10",8.1,7.79,8.1,8.05,213000
"2010-12-13",8.2,7.58,7.58,8.19,178400
"2010-12-14",8.59,8.25,8.25,8.48,288400
"2010-12-15",8.91,8.5,8.58,8.58,274200
"2010-12-16",8.86,8.53,8.58,8.8,257200
"2010-12-17",9.06,8.67,8.82,9.06,609100
"2010-12-20",9.47,9,9.47,9.39,437600
"2010-12-21",9.62,9.25,9.42,9.42,380000
"2010-12-22",9.55,9.27,9.48,9.48,201300
"2010-12-23",9.62,9.38,9.48,9.51,196900
"2010-12-27",9.75,9.3,9.33,9.69,213300
"2010-12-28",9.94,9.43,9.94,9.48,213600
"2010-12-29",9.4,8,9.4,8.58,1006600
"2010-12-30",8.55,8.18,8.55,8.43,200600
"2010-12-31",8.45,8.23,8.24,8.33,156900
"2011-01-03",9.09,8.36,8.46,8.92,366200
"2011-01-04",9.36,8.1,9.36,9.13,472300
"2011-01-05",9.53,9.15,9.37,9.5,397600
"2011-01-06",9.2,8.35,8.6,8.62,922100
"2011-01-07",8.8,8.15,8.61,8.37,464600
"2011-01-10",8.72,8.38,8.41,8.71,265700
"2011-01-11",8.99,8.62,8.9,8.99,235300
"2011-01-12",9.09,8.89,9.04,9.06,175300
"2011-01-13",9.1,8.9,9.1,9.02,179700
"2011-01-14",9.08,8.8,9.03,8.86,183900
"2011-01-18",9.05,8.82,8.95,9.05,197300
"2011-01-19",9.1,8.24,9.09,8.25,397800
"2011-01-20",8.58,8.15,8.49,8.29,251100
"2011-01-21",8.44,8.15,8.39,8.21,204800
"2011-01-24",8.21,8.01,8.19,8.11,169900
"2011-01-25",8.1,7.66,8.1,7.83,323400
"2011-01-26",8.25,7.9,7.9,8.23,136400
"2011-01-27",8.41,8.1,8.2,8.13,82500
"2011-01-28",8.39,7.51,8.37,7.51,240100
"2011-01-31",8.42,7.51,8.42,7.83,230900
"2011-02-01",8.11,7.8,8,8.07,191300
"2011-02-02",8.29,7.91,8.29,7.94,111500
"2011-02-03",8.1,7.73,8.1,7.87,89700
"2011-02-04",7.95,7.75,7.79,7.77,97100
"2011-02-07",7.85,7.7,7.77,7.77,121300
"2011-02-08",7.86,7.5,7.75,7.84,161300
"2011-02-09",7.98,7.75,7.8,7.9,104600
"2011-02-10",7.95,7.52,7.95,7.58,121800
"2011-02-11",7.88,7.45,7.55,7.62,197500
"2011-02-14",7.86,7.51,7.51,7.61,118600
"2011-02-15",7.63,7.12,7.61,7.26,390000
"2011-02-16",7.54,7.06,7.23,7.2,290600
"2011-02-17",7.39,7.19,7.26,7.38,112300
"2011-02-18",7.47,7.25,7.38,7.32,130200
"2011-02-22",7.32,6.91,7.23,6.95,341400
"2011-02-23",7,6.08,6.92,6.53,559100
"2011-02-24",6.73,6.11,6.24,6.7,182400
"2011-02-25",7.05,6.67,6.75,7.01,166000
"2011-02-28",7.3,6.89,7.05,6.89,184600
"2011-03-01",7.18,6.69,6.92,6.81,158400
"2011-03-02",7.9,7.26,7.5,7.75,1163600
"2011-03-03",8.13,7.89,7.95,8.06,507200
"2011-03-04",8.1,7.82,8.05,7.84,294800
"2011-03-07",8.07,7.25,8.01,7.56,485800
"2011-03-08",7.9,7.46,7.81,7.8,339700
"2011-03-09",8,7.68,7.8,7.76,109500
"2011-03-10",7.91,7.52,7.7,7.77,211800
"2011-03-11",8.21,7.61,7.61,8.11,281300
"2011-03-14",8.19,7.75,8.11,7.93,161900
"2011-03-15",7.89,7.6,7.8,7.87,275100
