"Date","High","Low","Open","Close","Volume","Adj.Close"
"2006-09-06",11.34,11.1,11.25,11.23,33000,5.051498
"2006-09-07",11.28,11.12,11.18,11.16,66000,5.020011
"2006-09-08",11.19,10.94,11.15,11.06,49400,4.975029
"2006-09-11",11.25,10.91,10.99,11.18,46200,5.029008
"2006-09-12",11.25,10.96,11.18,11.22,112100,5.047
"2006-09-13",11.25,10.9,11.19,11.05,85000,4.970531
"2006-09-14",11.3,10.92,11.01,11.24,47600,5.055997
"2006-09-15",11.4,11.04,11.3,11.37,187000,5.114473
"2006-09-18",11.41,10.95,11.34,10.98,95800,4.939043
"2006-09-19",11.1,10.85,10.97,11.1,51500,4.993022
"2006-09-20",11.36,11.03,11.13,11.3,57500,5.082986
"2006-09-21",11.43,10.95,11.3,11.11,122000,4.99752
"2006-09-22",11.25,11.04,11.11,11.18,61100,5.029008
"2006-09-25",11.27,11.06,11.18,11.16,51200,5.020011
"2006-09-26",11.26,11.12,11.18,11.23,33600,5.051498
"2006-09-27",11.21,11.05,11.19,11.13,52100,5.006516
"2006-09-28",11.25,11.07,11.17,11.07,37100,4.979527
"2006-09-29",11.3,11.01,11.11,11.03,81500,4.961534
"2006-10-02",11.27,11.07,11.07,11.24,69400,5.055997
"2006-10-03",11.24,11.08,11.19,11.18,36500,5.029008
"2006-10-04",11.33,11.14,11.14,11.25,59500,5.060495
"2006-10-05",11.31,11.2,11.22,11.3,26600,5.082986
"2006-10-06",11.33,11.19,11.31,11.23,26900,5.051498
"2006-10-09",11.25,10.99,11.25,11.19,32600,5.033505
"2006-10-10",11.29,10.96,11.23,11.26,46000,5.064993
"2006-10-11",11.33,11.1,11.2,11.17,31600,5.024509
"2006-10-12",11.68,11.05,11.23,11.68,69700,5.253918
"2006-10-13",11.87,11.39,11.72,11.84,62600,5.32589
"2006-10-16",11.88,11.61,11.88,11.8,36100,5.307897
"2006-10-17",11.94,11.65,11.72,11.91,41200,5.357377
"2006-10-18",12,11.74,11.94,11.95,25600,5.37537
"2006-10-19",11.99,11.81,11.89,11.95,41700,5.37537
"2006-10-20",12,11.58,12,11.96,48700,5.379868
"2006-10-23",11.96,11.67,11.91,11.95,35200,5.37537
"2006-10-24",11.93,11.6,11.93,11.85,50800,5.330388
"2006-10-25",11.96,11.78,11.87,11.94,21600,5.370872
"2006-10-26",12,11.81,11.96,11.89,36500,5.348381
"2006-10-27",11.9,11.75,11.83,11.75,31500,5.285406
"2006-10-30",11.95,11.61,11.72,11.89,25300,5.348381
"2006-10-31",11.99,11.79,11.95,11.95,37500,5.37537
"2006-11-01",11.99,11.5,11.99,11.62,57100,5.226929
"2006-11-02",11.77,11.5,11.6,11.55,29100,5.195442
"2006-11-03",11.65,11.19,11.53,11.57,73500,5.204438
"2006-11-06",11.87,11.5,11.62,11.71,49300,5.267413
"2006-11-07",11.87,11.6,11.75,11.63,94300,5.231427
"2006-11-08",11.79,11.5,11.56,11.69,42100,5.258416
"2006-11-09",11.72,11.21,11.72,11.28,64700,5.073989
"2006-11-10",11.42,11.17,11.3,11.42,42300,5.136965
"2006-11-13",11.43,11.03,11.38,11.21,75100,5.042502
"2006-11-14",11.45,11.1,11.15,11.44,70000,5.145961
"2006-11-15",11.99,11.42,11.44,11.79,50200,5.303399
"2006-11-16",11.99,11.6,11.6,11.94,51100,5.370872
"2006-11-17",12.2,11.85,11.95,12.04,92800,5.415854
"2006-11-20",12.23,12,12.16,12.16,43900,5.469833
"2006-11-21",12.19,12.01,12.05,12.16,67600,5.552017
"2006-11-22",12.22,11.92,12.19,12.06,33900,5.506359
"2006-11-24",12.15,11.92,11.97,12.09,7900,5.520056
"2006-11-27",12.16,11.55,12.16,11.55,81300,5.273503
"2006-11-28",11.72,11.54,11.54,11.68,26200,5.332859
"2006-11-29",11.95,11.73,11.73,11.95,30600,5.456135
"2006-11-30",11.99,11.69,11.86,11.86,76700,5.415043
"2006-12-01",11.82,11.51,11.81,11.73,73300,5.355687
"2006-12-04",12.2,11.62,11.77,12.12,121300,5.533754
"2006-12-05",12.33,12.13,12.22,12.19,135700,5.565714
"2006-12-06",12.24,12,12.19,12.12,63500,5.533754
"2006-12-07",12.15,12,12.06,12,31100,5.478964
"2006-12-08",12.08,11.97,12,11.99,221100,5.474398
"2006-12-11",12.11,11.79,12.05,11.91,47000,5.437872
"2006-12-12",11.89,11.71,11.87,11.81,43100,5.392214
"2006-12-13",11.93,11.7,11.89,11.93,93700,5.447004
"2006-12-14",12.05,11.75,11.98,11.99,36400,5.474398
"2006-12-15",12.08,11.93,12,11.96,82900,5.460701
"2006-12-18",12,11.85,11.96,11.95,58700,5.456135
"2006-12-19",12,11.82,11.82,12,55700,5.478964
"2006-12-20",12.2,11.98,12.04,12.18,46800,5.561149
"2006-12-21",12.25,12.14,12.14,12.16,50400,5.552017
"2006-12-22",12.2,12.1,12.18,12.19,11100,5.565714
"2006-12-26",12.32,12.11,12.15,12.25,69300,5.593109
"2006-12-27",12.52,12.31,12.31,12.52,38900,5.716386
"2006-12-28",12.5,12.29,12.46,12.31,26700,5.620504
"2006-12-29",12.6,12.3,12.33,12.37,56500,5.647899
"2007-01-03",12.59,12.13,12.47,12.26,81300,5.597675
"2007-01-04",12.31,11.87,12.26,12.08,58300,5.51549
"2007-01-05",12.15,11.85,12.08,12,94900,5.478964
"2007-01-08",12.05,11.77,12.05,11.81,122000,5.392214
"2007-01-09",11.85,11.57,11.82,11.6,40100,5.296332
"2007-01-10",11.69,11.49,11.51,11.68,52300,5.332859
"2007-01-11",11.84,11.48,11.71,11.56,71000,5.278069
"2007-01-12",11.64,11.34,11.57,11.52,47300,5.259806
"2007-01-16",11.72,11.38,11.53,11.44,41100,5.223279
"2007-01-17",11.47,11.23,11.4,11.25,85500,5.136529
"2007-01-18",11.46,11.21,11.28,11.37,190300,5.191318
"2007-01-19",11.47,11.3,11.35,11.46,79800,5.232411
"2007-01-22",11.47,11.21,11.47,11.28,56500,5.150226
